name,year,rating,metascore,num_votes
The White Tiger,2021,7.1,76.0,45257.0
The Big Bull,2021,5.0,,9648.0
The Girl on the Train,2021,4.3,,7248.0
Kaagaz,2021,7.3,,5875.0
Roohi,2021,4.2,,5731.0
Pagglait,2021,7.0,,5461.0
Mumbai Saga,2021,5.4,,5338.0
Nail Polish,2021,7.3,,3338.0
Hello Charlie,2021,3.7,,3068.0
Tribhanga,2021,6.1,,2408.0
Ajeeb Daastaans,2021,6.8,,2380.0
Kaadan,2021,7.0,,2196.0
Silence: Can You Hear It,2021,6.4,,2191.0
Saina,2021,3.7,,1991.0
Saat Kadam,2021,6.1,,1468.0
The Power,I) (2021,5.3,,1362.0
Fauji Calling,2021,6.9,,1297.0
Madam Chief Minister,2021,4.6,,1037.0
Mosagallu,2021,8.4,,965.0
Sandeep Aur Pinky Faraar,2021,4.0,,612.0
Pitta Kathalu,2021,5.0,,583.0
Lahore Confidential,2021,2.8,,487.0
Flight,II) (2021,7.9,,468.0
Refl3ct,2021,7.4,,449.0
Tuesdays and Fridays,2021,4.5,,409.0
Time to Dance,2021,1.3,,406.0
Jamun,2021,7.4,,356.0
Raat Baaki Hai,2021,5.1,,216.0
The Wife,2021,4.5,,201.0
Consequence Karma,2021,6.7,,196.0
Koi Jaane Na,2021,2.3,,114.0
Maassab (The Teacher),2021,9.9,,104.0
Main Mulayam Singh Yadav,2021,3.4,,102.0
Machaan,2021,9.0,,81.0
Bawri Chhori,2021,5.2,,73.0
12 O'Clock,2021,4.4,,61.0
My Darling,2021,7.3,,59.0
Noise of Silence,2021,7.2,,42.0
Shooter,2021,,,
Step Out,2021,8.1,,28.0
Black Rose,2021,4.8,,26.0
Majjma,2021,8.0,,22.0
Udham Singh,2021,8.0,,21.0
Tank Cleaner,2021,8.7,,20.0
Fire in the Mountains,2021,6.2,,20.0
NCR: Chapter One,2021,9.1,,14.0
June,I) (2021,9.4,,14.0
Koi Sath Hai,2021,3.8,,13.0
Ahaan,2021,7.6,,10.0
Switchh,2021,5.9,,9.0
Boxed,2021,6.6,,8.0
Yug the law of karma,2021,8.4,,8.0
Ghar Pe Bataao,2021,9.2,,8.0
Baikunth,2021,9.2,,6.0
Major,2021,,,
Holy Cow,2021,,,
Millions of Cards,2021,,,
Raksha Bandhan,2021,,,
Prithviraj,2021,,,
Sooryavanshi,2021,,,
Fun In Goa,2021,,,
The House on the Cliff,2021,,,
Babloo Bachelor,2021,,,
Something Wrong,2021,,,
Pushpa,2021,,,
Black Market,2021,,,
Coat,2021,,,
Rocketry: The Nambi Effect,2021,,,
Sharmaji Namkeen,2021,,,
Ramyug,2021,,,
Jhund,2021,,,
Looop Lapeta,2021,,,
Half Songs,2021,,,
Shamshera,2021,,,
The Tenant,2021,,,
RRR,2021,,,
